path	fitness
11,13,23,9,2,25,32,30,29,22,0,33,27,3,4,19,1,5,31,16,15,7,8,21,24,28,20,12,10,18,14,26,17,6	38410318.2317149
11,13,23,17,2,25,32,30,29,22,0,33,27,5,4,19,1,3,31,16,15,7,8,21,24,28,20,12,10,18,14,26,9,6	36918541.73303861
33,6,4,23,30,29,24,20,21,25,27,3,22,15,9,19,26,5,31,16,13,0,2,18,28,1,7,8,11,10,14,17,12,32	36074556.0329515
33,6,4,23,30,29,24,20,21,25,27,3,22,15,9,19,26,5,31,16,13,0,2,18,28,1,7,8,11,10,14,17,12,32	36074556.0329515
33,6,4,23,30,29,24,20,21,25,27,3,7,15,9,19,26,5,31,16,13,0,2,18,28,1,22,8,11,10,14,17,12,32	36044940.85223247
33,6,4,23,30,29,24,20,21,25,27,3,7,15,9,19,26,5,31,16,13,0,2,18,28,1,22,8,11,10,14,17,12,32	36044940.85223247
33,6,4,23,30,29,24,20,21,25,27,3,22,13,9,19,26,5,31,16,15,0,2,18,28,1,7,8,11,10,14,17,12,32	35675813.08177326
29,8,20,19,18,33,32,25,11,21,13,15,14,9,2,10,1,5,12,16,7,0,6,22,28,26,27,3,4,17,30,23,31,24	35642538.1353207
33,6,4,23,30,29,24,20,21,25,27,3,22,13,9,19,26,5,31,16,15,0,2,18,28,1,7,8,11,10,14,17,12,32	35675813.08177326
33,6,4,23,30,29,24,20,21,25,27,3,22,15,9,19,26,5,31,16,13,0,2,18,28,1,7,8,11,10,14,17,12,32	36074556.0329515
33,6,4,23,30,29,24,20,21,25,27,3,22,7,9,19,26,5,31,16,13,0,2,18,28,15,12,8,11,10,14,17,1,32	34574776.848763674
33,6,4,23,30,29,24,20,21,25,27,28,14,15,9,19,26,5,31,16,13,0,2,18,3,1,7,8,11,10,22,17,12,32	34188528.63064568
8,6,4,23,30,29,24,17,21,25,27,3,28,15,9,19,26,5,31,16,13,0,2,18,22,1,11,14,12,33,32,20,7,10	33704173.65201338
33,6,4,23,30,29,24,20,26,21,27,3,22,7,9,14,25,11,31,16,13,0,2,18,28,15,12,8,5,10,19,17,1,32	34255596.74338296
33,6,4,23,30,29,24,20,21,25,27,3,14,15,9,19,26,5,31,16,13,0,2,18,28,7,12,8,11,10,22,17,1,32	33889189.81454119
33,6,4,23,30,29,24,20,21,25,27,3,14,15,9,19,26,5,31,16,13,0,2,18,28,12,7,8,11,10,22,17,1,32	32897094.511717133
33,6,4,23,30,29,24,20,21,25,27,3,14,7,9,19,26,11,31,16,13,0,2,18,28,15,12,8,5,10,22,17,1,32	32461138.030586302
33,15,7,23,30,29,24,28,21,25,27,3,14,12,9,19,26,5,31,16,13,0,2,1,20,6,4,8,11,10,22,17,18,32	32364131.215411186
33,6,4,23,30,29,24,20,26,25,27,3,22,7,9,14,21,11,31,16,13,0,2,18,28,15,12,8,5,10,17,1,19,32	32449647.872745376
33,6,4,23,30,29,24,20,26,25,27,3,14,7,9,19,17,11,31,16,13,0,2,18,28,15,12,8,5,10,21,1,22,32	32234773.106371656
33,15,12,23,30,29,24,28,21,25,27,3,14,7,9,22,26,5,31,16,13,0,2,18,20,6,4,8,11,10,19,17,1,32	31322399.226138834
33,15,12,23,30,29,24,28,21,25,27,3,14,7,9,22,26,5,31,16,13,0,2,18,20,6,4,8,11,10,19,17,1,32	31322399.226138834
33,15,12,23,30,29,24,28,26,25,27,3,22,7,9,14,21,11,31,16,13,0,2,18,20,6,4,8,5,10,19,17,1,32	30723401.79135027
33,15,12,23,30,29,24,28,26,25,27,3,14,7,9,22,17,11,31,16,13,0,2,18,20,6,4,8,5,10,19,21,1,32	29610123.146612607
33,15,12,23,30,29,24,28,26,25,27,3,14,7,9,22,21,11,31,16,13,0,2,18,20,6,4,8,5,10,19,17,1,32	29465571.27836614
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,19,17,11,31,16,13,0,2,18,20,4,6,8,5,10,22,21,1,32	29251428.57937457
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,11,31,16,13,0,2,18,20,6,4,8,5,10,19,17,1,32	29008791.215842653
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,11,31,16,13,0,2,18,20,6,4,8,5,10,19,17,1,32	29008791.215842653
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,1,17,11,31,16,13,0,2,18,20,6,4,8,5,10,22,21,19,32	28949196.277565956
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,11,6,4,8,5,10,19,17,1,32	27754251.220994953
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,11,6,4,8,5,10,19,17,1,32	27754251.220994953
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,11,6,4,8,5,10,19,17,1,32	27754251.220994953
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,11,6,4,8,5,10,19,17,1,32	27754251.220994953
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,11,6,4,8,5,10,1,17,19,32	27549387.508060116
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,6,4,8,11,10,1,17,19,32	26074836.694410704
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,6,4,8,11,10,19,1,17,32	25998021.531393893
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,19,17,1,32	25787173.328050356
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,19,17,1,32	25787173.328050356
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,19,1,17,32	25505494.45209871
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,19,1,17,32	25505494.45209871
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,17,19,1,32	25316760.337093484
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,17,1,19,32	25228752.254176687
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,18,5,4,6,8,11,10,19,1,17,32	24875091.365863957
33,12,15,23,30,29,24,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24871225.740296494
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,19,1,17,32	24517564.851983763
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,19,1,17,32	24517564.851983763
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,19,1,17,32	24517564.851983763
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
33,12,15,23,30,24,29,28,26,25,27,3,14,7,9,22,21,20,31,16,13,0,2,8,5,4,6,18,11,10,17,1,19,32	24240822.654061742
