recall	queries_per_sec	method
0.16769	8517.38922155	Annoy
0.22276	6830.23297321	Annoy
0.30127	5027.95021228	Annoy
0.32802	3280.0626373	Annoy
0.43319	3003.16369027	Annoy
0.46545	2109.52128352	Annoy
0.54156	1897.38514131	Annoy
0.57506	1429.60720759	Annoy
0.64623	1156.3510071	Annoy
0.6805	930.183768059	Annoy
0.70675	738.695792724	Annoy
0.77365	551.116495678	Annoy
0.80218	475.167118063	Annoy
0.82541	407.310790053	Annoy
0.85487	298.515780216	Annoy
0.8776	268.839534294	Annoy
0.89588	241.360829302	Annoy
0.92193	157.24585337	Annoy
0.93534	145.313459191	Annoy
0.94766	139.097077666	Annoy
0.97419	65.5104484685	Annoy
0.98037	63.8728175015	Annoy
0.98436	62.7131636049	Annoy
0.99392	35.9534114111	Annoy
0.99559	35.072955801	Annoy
0.99842	19.7933195184	Annoy
0.99905	19.4775457211	Annoy
0.12651	2474.30980668	BallTree(nmslib)
0.22784	761.18565546	BallTree(nmslib)
0.32711	420.13525251	BallTree(nmslib)
0.42638	241.036454271	BallTree(nmslib)
0.49716	165.304510793	BallTree(nmslib)
0.59277	113.829254452	BallTree(nmslib)
0.68306	78.8556409903	BallTree(nmslib)
0.80029	54.3833558933	BallTree(nmslib)
0.84732	41.4144983158	BallTree(nmslib)
0.88236	34.8403931695	BallTree(nmslib)
0.93897	27.6990136189	BallTree(nmslib)
0.95945	24.387168251	BallTree(nmslib)
0.98494	20.8538233877	BallTree(nmslib)
1.0	8.0228197629	BruteForceBLAS
0.40463	3379.65450412	faiss-ivf
0.44076	2467.10892202	faiss-ivf
0.63386	1632.99688534	faiss-ivf
0.67826	1221.51408599	faiss-ivf
0.71879	1056.56367421	faiss-ivf
0.75827	641.187335398	faiss-ivf
0.80146	541.546784637	faiss-ivf
0.83491	458.99530911	faiss-ivf
0.85511	360.248208314	faiss-ivf
0.86982	277.046619927	faiss-ivf
0.88602	261.480610617	faiss-ivf
0.9022	219.919225549	faiss-ivf
0.91799	147.13647223	faiss-ivf
0.9295	143.057948858	faiss-ivf
0.95602	76.7735767035	faiss-ivf
0.97819	38.5358822626	faiss-ivf
0.99168	18.6226686926	faiss-ivf
0.99348	18.2868486354	faiss-ivf
0.14534	6335.47551744	FLANN
0.38832	3204.63340818	FLANN
0.6032	1061.91223721	FLANN
0.72734	697.064289033	FLANN
0.85992	137.289559713	FLANN
0.9267	62.8676035268	FLANN
0.07974	8834.12158569	hnsw(faiss)
0.22489	6520.44658557	hnsw(faiss)
0.38157	4435.01487589	hnsw(faiss)
0.542	2752.84137747	hnsw(faiss)
0.67683	1565.42537258	hnsw(faiss)
0.73895	1083.09672974	hnsw(faiss)
0.8022	642.570212215	hnsw(faiss)
0.86239	281.476612432	hnsw(faiss)
0.88865	160.247923241	hnsw(faiss)
0.90471	104.140071264	hnsw(faiss)
0.08197	61038.3331951	hnsw(nmslib)
0.16247	39341.9840655	hnsw(nmslib)
0.22711	27320.4869911	hnsw(nmslib)
0.30447	26248.7694825	hnsw(nmslib)
0.43624	18685.1740727	hnsw(nmslib)
0.51567	14816.9249726	hnsw(nmslib)
0.54156	12943.5290748	hnsw(nmslib)
0.56677	12434.4385861	hnsw(nmslib)
0.61302	10310.5426384	hnsw(nmslib)
0.63394	9612.58850721	hnsw(nmslib)
0.66095	8672.37504952	hnsw(nmslib)
0.67861	7812.16840503	hnsw(nmslib)
0.70994	6634.11010907	hnsw(nmslib)
0.72256	6596.71572166	hnsw(nmslib)
0.76169	5390.74545239	hnsw(nmslib)
0.77116	4609.83448003	hnsw(nmslib)
0.7883	4547.86059486	hnsw(nmslib)
0.8243	3530.13904996	hnsw(nmslib)
0.83721	3167.30431042	hnsw(nmslib)
0.12987	35466.8019618	hnswlib
0.21502	22966.7444398	hnswlib
0.3228	21063.3244998	hnswlib
0.43006	16433.3514084	hnswlib
0.45078	13731.7635165	hnswlib
0.49454	13514.9372088	hnswlib
0.56309	10926.2746136	hnswlib
0.62441	8915.48461096	hnswlib
0.68254	7228.32207717	hnswlib
0.73025	5593.88211821	hnswlib
0.75095	4562.48812278	hnswlib
0.77979	4458.59762925	hnswlib
0.81756	3448.4943365	hnswlib
0.83926	2705.20166642	hnswlib
0.85335	2616.0001911	hnswlib
0.85603	2322.46462859	hnswlib
0.88642	2011.53638492	hnswlib
0.88902	1581.52579934	hnswlib
0.90472	1547.20775617	hnswlib
0.91823	1422.51727763	hnswlib
0.91954	1314.19934276	hnswlib
0.92241	1193.91422283	hnswlib
0.93405	1133.87598821	hnswlib
0.94652	932.404630189	hnswlib
0.94935	911.900273083	hnswlib
0.95702	805.646492614	hnswlib
0.96222	738.974060508	hnswlib
0.9709	601.271090144	hnswlib
0.97835	524.444841785	hnswlib
0.9785	495.189179666	hnswlib
0.98588	401.262536453	hnswlib
0.98839	344.466801043	hnswlib
0.99057	324.900597228	hnswlib
0.99335	283.870529525	hnswlib
0.99574	225.820860035	hnswlib
0.99618	215.72320339	hnswlib
0.9971	194.733291949	hnswlib
0.9977	175.523315237	hnswlib
0.99853	152.67123835	hnswlib
0.40399	897.727061611	Milvus
0.53453	867.018186673	Milvus
0.60079	815.891305789	Milvus
0.69789	779.890720202	Milvus
0.74332	684.957114651	Milvus
0.76161	631.575308105	Milvus
0.80918	620.61597812	Milvus
0.84674	540.180898545	Milvus
0.86642	392.370472286	Milvus
0.90238	370.611306876	Milvus
0.92005	346.264148332	Milvus
0.96212	173.538527341	Milvus
0.99076	64.7128554115	Milvus
1.0	19.80661331	Milvus
0.09733	3267.68087278	MRPT
0.19998	2598.89362323	MRPT
0.30032	2070.98479645	MRPT
0.39713	1643.49850472	MRPT
0.49765	1262.76112182	MRPT
0.59366	985.547432859	MRPT
0.0874	35622.7153515	N2
0.16664	24666.6305966	N2
0.2145	23004.9253519	N2
0.30998	18734.4990403	N2
0.37562	14857.449316	N2
0.38078	14545.6260512	N2
0.49799	11940.035419	N2
0.54288	9160.17303916	N2
0.57364	8827.71626232	N2
0.66413	7197.94669169	N2
0.68886	5365.93016916	N2
0.72678	5190.29003501	N2
0.78107	4132.90840576	N2
0.78361	3873.45166668	N2
0.82596	2951.88924109	N2
0.82947	2951.7363453	N2
0.87149	2190.18904024	N2
0.87741	1918.13223864	N2
0.9073	1552.51200371	N2
0.90924	1340.02851747	N2
0.92517	1046.21826867	N2
0.94203	1006.03592195	N2
0.94989	783.644444471	N2
0.95875	564.116151624	N2
0.97359	546.636338412	N2
0.97585	396.63779175	N2
0.98491	378.988673984	N2
0.99065	292.638758348	N2
0.0305	63231.1266355	PANNG-NGT
0.12732	32276.6137714	PANNG-NGT
0.23577	21970.4849971	PANNG-NGT
0.4927	10163.3382571	PANNG-NGT
0.5583	8263.11280065	PANNG-NGT
0.65617	5999.12951702	PANNG-NGT
0.78833	3479.2984305	PANNG-NGT
0.94015	900.391811639	PANNG-NGT
