isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	show	updated_date
9787509001882	2008972	NA	沙漏	NA	NA	饶雪漫	当代世界出版社	2007-1	279	高中	?	?	6.8	6	1	1	2020-01-24
9787509002179	2081286	NA	沙漏II	NA	NA	饶雪漫	当代世界出版社	2007-5	280	高中	?	?	6.9	6	1	1	2020-01-24
9787540210700	1121460	NA	基督山伯爵(上下)	NA	Le comte de monte-cristo	[法] 大仲马	北京燕山出版社	1999-8-1	1110	高中	?	?	9.3	8	1	1	2020-01-24
9787220050299	1044016	NA	信仰之旅	NA	NA	林语堂	四川人民出版社	2000-06	263	高中	?	?	8.2	8	1	1	2020-01-24
9787894810199	2221912	NA	激情晨读英语美文	英语美文	NA	高林显	山东电子音像出版社	2007-1	297	高中	?	?	8.7	8	1	1	2020-01-24
9787530947357	1882699	NA	美丽英文	生命中最美的瞬间	NA	艾柯	天津教育出版社	2006-8-1	239	高中	?	?	7.7	9	1	1	2020-01-24
9787539971810	26340138	NA	岛上书店	NA	The Storied Life of A. J. Fikry	[美] 加布瑞埃拉·泽文	江苏凤凰文艺出版社	2015-5-1	271	大学	NA	NA	7.6	NA	1	1	2020-01-24
9787531732952	26680049	NA	怀斯曼生存手册	终极指南（最新补充版)	NA	[英] 约翰·怀斯曼	北方文艺出版社	2014-8	416	大学	?	?	8.7	8	1	1	2020-01-24
9787550213524	24934182	NA	一个人的朝圣	NA	Unlikely Pilgrimage of Harold Fry	[英] 蕾秋·乔伊斯	北京联合出版公司	2013-9-1	320	大学	NA	NA	8.1	NA	1	1	2020-01-24
9789861207896	6428468	NA	我們最幸福	北韓人民的真實生活	Nothing to Envy: Ordinary Lives in North Korea	芭芭拉·德米克 Barbara Demick	麥田出版	2011-5-31	384	大学	?	?	9.1	9	0	1	2020-01-24
9787508641577	25697520	NA	他们最幸福	NA	NA	大冰	中信出版社	2013-9-1	288	大学	?	?	8	7	1	1	2020-01-24
9787540472238	26575812	NA	阿弥陀佛么么哒	NA	NA	大冰	湖南文艺出版社	2015-6-1	392	大学	?	?	7.1	7	1	1	2020-01-24
9787540468798	25984204	NA	乖，摸摸头	NA	NA	大冰	湖南文艺出版社	2014-9-1	336	大学	?	?	7.3	7	1	1	2020-01-24
9787512505575	25710855	NA	无法触碰的我爱你	NA	NA	SU徐昊原	国际文化出版公司	2013-8-1	232	大学	NA	NA	NA	NA	1	1	2020-01-24
9787544276528	26305561	NA	如何阅读一本小说	NA	How to Read Novels Like a Professor	[美] 托马斯·福斯特	南海出版公司	2015-4	312	大学	NA	NA	7.9	NA	1	1	2020-01-24
9787508618166	4178327	NA	谁说大象不能跳舞(珍藏版)	NA	NA	[美] 郭士纳	中信出版社	2010-1-1	295	大学	?	?	8.3	8	1	1	2020-01-24
9787550215528	24745639	NA	麦肯锡教我的写作武器	从逻辑思考到文案写作	Logical Thinking and Writing	[日] 高杉尚孝	北京联合出版公司·后浪出版公司	2013-7	214	大学	?	?	7.6	7	1	1	2020-01-24
9787802223417	2147625	NA	硅谷禁书	世界上最伟大的24堂励志课	The Master Key System	查尔斯·哈尼尔	中国华侨出版社	2007.7	242	大学	?	?	6.3	7	1	1	2020-01-24
9787544270878	25862578	NA	解忧杂货店	NA	ナミヤ雑貨店の奇蹟	[日] 东野圭吾	南海出版公司	2014-5	291	大学	?	?	8.5	8	1	1	2020-01-24
9787883526216	1791929	NA	我型我塑	NA	NA	东映文化	NA	NA	90	大学	?	?	NA	8	1	1	2020-01-24
9787801487957	1397775	NA	小小地球	NA	The Little Earth Book	布鲁斯	新星出版社	2005-5	196	大学	?	?	8.3	8	1	1	2020-01-24
9780446195270	2679260	NA	The Choice	NA	NA	[美] Nicholas Sparks	NA	2007-9	288	大学	NA	NA	NA	NA	1	1	2020-01-24
9787100121989	26849476	NA	金花的秘密	中国的生命之书	NA	[瑞士]荣格 / [德] 卫礼贤	商务印书馆	2016-7	129	2020-04-15	NA	NA	8.7	NA	1	1	2020-04-15
9787111551447	26907984	NA	红书	NA	The red book	[瑞士] 荣格（C. G. Jung）原著 / [英] 索努·沙姆达萨尼（Sonu Shamdasani）编译	机械工业出版社	2016-12-30	596	2020-04-15	NA	NA	9.2	NA	1	1	2020-04-15
9787540480776	27071421	NA	爱你就像爱生命（精装全彩珍藏）	NA	NA	王小波 李银河	湖南文艺出版社	2017-7	272	2020-04-15	NA	NA	9	NA	1	1	2020-04-15
9787559604170	27104286	NA	寂寞的游戏	NA	NA	袁哲生	北京联合出版公司	2017-9	248	2020-04-15	NA	NA	8.4	NA	1	1	2020-04-15
9787508684512	30128262	NA	“错误”的行为	行为经济学的形成	Misbehaving: The Making of Behavioral Economics	[美] 理查德·塞勒	中信出版集团	2018-3-1	NA	2020-04-15	NA	NA	8.9	NA	1	1	2020-04-15
9789570521672	5027300	NA	人子	NA	NA	鹿橋	台灣商務印書館	2007-5	NA	2020-04-04	NA	NA	9	NA	1	1	2020-04-15
9789863442943	26667513	NA	建豐二年	新中國烏有史	NA	陳冠中	NA	2015-12-1	256	2020-04-04	NA	NA	NA	NA	0	1	2020-04-15
9789869545624	30256082	NA	台北故事	NA	NA	台北人	鏡文學	2018-4-2	304	2020-04-04	NA	NA	NA	NA	1	1	2020-04-15
