imdb_id	douban_id	blog_link	title	directors	actors	countries	genres	release_date	watch_date	is_tv	imdb_rating	douban_rating	rating	auto_update	updated_date
tt9319668	30378843	NA	1899	巴伦·博·欧达尔	艾米丽·比查姆, 阿奈林·巴纳德, 安德烈亚斯·皮特斯柯曼, 米格尔·贝尔纳尔德阿尤, 何塞·皮芒道, 安东·莱瑟, 弗莱恩·爱德华兹, 伊莎贝拉·魏, 王琦珮, 雅恩·盖尔, 乔纳斯·布洛凯, 马蒂尔德·奥利维耶, 罗莎莉·克雷格, 马切伊·穆西尔, 克拉拉·罗萨杰, 卢卡斯·林高·藤内森, 玛丽亚·厄沃尔特, 亚历山大·维尧姆, 马丁·格雷斯-罗森塔尔, 缇诺·麦威斯, 艾萨克·登特勒, 克洛伊·海因里希, 卡雅·陈, 理查德·霍普, 本·阿什登, 海蒂·托尼, 约书亚·塞伦丁德, 尼克拉斯·梅恩斯彻因, 维达·斯约斯莱夫	德国, 美国	剧情, 历史, 悬疑	2022-11-17	2022-11-21	TRUE	7.6	6.7	6	1	2023-01-08
tt22399058	35604644	NA	她和她的她	卓立	许玮甯, 李程彬, 贾静雯, 吴慷仁, 李霈瑜, 温贞菱, 于子育, 陈以文, 丁宁, 伊正, 徐钧浩, 林奕岚, 张凯喆, 林思廷, 许筑婷, 胡恩宁 , 胡宇威, 郭雪芙, 林哲熹, 薛仕凌, 蒋伟文, 廖慧珍, 段钧豪, 黄舒湄, 杨闵, 梁洳瑄, 林嘉俐, 罗能华, 孙君宝, 彭若萱, 洪义, 蔡亘晏, 罗弘任	中国台湾	剧情, 悬疑	2022-10-28	2022-10-29	TRUE	6.8	8.6	7	1	2023-01-08
tt21800888	35441582	NA	6/45	朴奎泰	高庚杓, 李伊庚, 音文硕, 朴世婉, 李淳元, 郭东延, 金民浩, 柳承秀, 尹炳熙, 李俊赫, 申元鎬, 南道润, 徐正宇	韩国	剧情, 喜剧	2022-08-24	2022-11-01	FALSE	7.1	7.6	8	1	2023-01-08
tt21081098	35131416	NA	妈，别闹了！	陈慧翎, 李俊宏	比莉, 贾静雯, 柯佳嬿, 寇世勋, 吴慷仁, 林柏宏, 曾莞婷	中国台湾	剧情, 喜剧, 家庭	2022-07-15	2022-07-31	TRUE	6.2	6.8	6	1	2023-01-08
tt20192958	35436582	NA	爱，死亡和机器人 第三季	帕特里克·奥斯本, 大卫·芬奇, 埃米莉·迪恩, 罗伯特·比斯, 安迪·里昂, 吕寅荣, 蒂姆·米勒, 卡洛斯·史蒂文斯, 杰罗姆·陈, 阿尔贝托·米尔戈	乔什·布雷纳, 加里·安东尼·威廉斯, 凯蒂·洛斯, 克里斯·帕内尔, 特罗伊·贝克, 凯文·杰克逊, 弗雷德·塔特西奥, 安东尼·马克·巴罗, 查特尔·巴里, 派瑞·申, 泰姆·温特斯, 詹姆斯·普雷斯顿·罗杰斯, 杰森·弗莱明, 艾洛蒂·袁, 马克斯·福勒, 麦肯兹·戴维斯, 霍莉·杰德, 大卫·沙特罗, 乔尔·麦克哈尔, 赛斯·格林, 加布里埃尔·鲁纳, 史蒂夫·布卢姆, 安德鲁·基希诺, 罗莎里奥·道森, 杰森·乔治, 克雷格·费格森, 丹·史蒂文斯, 乔·曼根尼罗, 克里斯蒂·瑟拉图斯, 杰·科特尼, 诺希尔·达拉尔, 斯坦顿·李, 杰夫·辛, 黛布拉·威尔逊, 吉文·斯维尔·布兰布尔	美国	喜剧, 科幻, 动画	2022-05-20	2022-05-23	TRUE	NA	8.6	8	1	2022-05-23
tt1745960	6893932	NA	壮志凌云2：独行侠	约瑟夫·科辛斯基	汤姆·克鲁斯, 詹妮弗·康纳利, 迈尔斯·特勒, 乔恩·哈姆, 方·基默, 莫妮卡.巴巴罗, 珍·路易莎·凯利, 曼尼·贾希尼托, 罗伯塔·斯巴达, 艾德·哈里斯, 格伦·鲍威尔, 刘易斯·普尔曼, 雷蒙德·李, 莉莲安娜·雷伊, 杰·埃利斯, 杰克·皮克金, 蕾切尔·马卡里兰, 巴希尔·萨拉赫丁, 彼得·马克·肯德尔, 查尔斯·帕内尔, 切尔西哈里斯, 丹尼·拉米雷斯, 王仲欣, 南希·德马尔斯, 康妮·夏普, 塞尔吉奥·布里奥内斯, 佩内洛普·卡普迪雅, 马克·安东尼·考克斯, 莫宾·汗	美国, 中国大陆	动作	2022-05-18	2022-10-15	FALSE	8.4	8	8	1	2023-01-08
NA	35465262	NA	没有工作的一年	郭增友	辣目洋子, 万鹏, 翟子路, 李俊贤, 蒋雪鸣, 李彦漫, 朱锐, 许娣, 梁天, 宋春丽, 万子涵, 李泽锋, 王璐, 李芯逸, 宁文彤, 康群智, 柯宇, 夏晨曦, 李倩倩, 李雨洋, 吴昕洁, 李鸣宇, 卢钲, 张子涵, 金天宇, 董书辰, 国永振, 李宏磊, 杨心怡, 杨哲, 王译莹, 陈季维, 冷海铭, 李玲, 周杰, 胡博, 米杨, 徐晟, 勺子, 杨晓栋	中国大陆	剧情	2022-04-11	2022-05-15	TRUE	NA	7.1	8	1	2022-05-23
tt10825320	30284118	NA	特战荣耀	徐纪周	杨洋, 李一桐, 蒋璐霞, 高鑫, 孟阿赛, 蒋龙, 周牧茵, 刘硕, 郭洺宇, 吴健, 沈晓海, 石兆琪, 谢静, 胡毅, 陈慧康, 王宸心	中国大陆	剧情	2022-04-05	2022-04-30	TRUE	8.8	7.1	7	1	2022-05-23
tt2934286	24748737	NA	光环 第一季	乔纳森·里贝斯曼, 奥图·巴瑟赫斯特, 罗伊·雷内, 杰特·威尔金森	巴勃罗·施瑞博尔, 娜塔莎·麦克艾霍恩, 叶林·韩, 博基姆·伍德拜因, 简·泰勒, 莎巴娜·阿兹米, 奥利维亚·格兰特, 夏莉·墨菲, 凯特·肯尼迪, 宾利·卡鲁, 娜塔莎·卡尔扎克, 丹尼·萨帕尼, 瑞安·麦克法兰, Casper Knopf, 朱利安·布里奇, 莎拉·里奇韦, 卡尔·约翰逊, 希尔顿·麦克雷, 菲奥娜·奥肖内西, 加博尔·纳吉帕尔, 米兰达·威尔逊, 杰米·比米什, 约翰尼·帕尔默, 伊恩·皮里, 约翰·迈尔斯, 安吉·塞佩达, 伊万·芬勇, 妮拉·阿利亚, 卡罗琳·博尔顿, 米里亚姆·诺瓦克, 孔政焕	美国	动作, 战争, 科幻	2022-03-24	2022-08-01	TRUE	7.1	6.6	7	1	2023-01-08
tt19818310	35480594	NA	猪猡之王	金大镇	金东旭, 金成圭, 蔡贞安	韩国	惊悚	2022-03-18	2022-09-01	TRUE	7.9	8.7	8	1	2023-01-08
tt6710474	30314848	NA	瞬息全宇宙	关家永, 丹尼尔·施纳特	杨紫琼, 许玮伦, 关继威, 吴汉章, 杰米·李·柯蒂斯, 塔丽·梅德尔, 珍妮·斯蕾特, 岑勇康, 比夫·威夫, 黎唯, 黎明, 李静, 苏妮特·玛尼, 阿隆·拉扎尔, 切尔西·戈德史密斯, 克雷格·亨宁森, 安东尼·莫利纳利, 丹·布朗, 帕努瓦特·安东尼·纳纳肯帕诺姆, 卡拉·玛丽·乔尔简, 兰达尔·阿切尔, 埃夫卡·科瓦拉西尤斯, 奥德丽·瓦西莱夫斯基, 布恩·平考, 蒂莫西·尤里齐, 丹尼尔·施纳特, 西协美智子, 蒂莫西·斯科特·拉尔斯顿, 兰迪·纽曼, 纳拉亚纳·卡布拉尔, D.Y. Sao, 关家永	美国	喜剧, 奇幻, 冒险	2022-03-11	2023-01-07	FALSE	8.1	7.6	8	1	2023-01-08
tt17346230	35559374	NA	军检察官多伯曼犬	陈昌圭	安普贤, 曹宝儿, 吴妍秀, 金永敏	韩国	剧情, 动作, 爱情	2022-02-28	2022-08-29	TRUE	7.8	7.4	8	1	2023-01-08
